LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, CO2_MLN_TONNE ,Flag Codes
CAN,AIREMISSION,CO2,MLN_TONNE,A,2000, 503.64 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2001, 496.34 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2002, 514.63 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2003, 534.43 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2004, 519.65 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2005, 531.68 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2006, 522.43 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2007, 551.97 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2008, 533.54 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2009, 506.69 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2010, 520.84 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2011, 532.74 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2012, 530.00 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2013, 538.42 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2014, 543.56 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2015, 540.52 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2016, 538.44 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2017, 547.90 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2018, 558.80 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2019, 551.65 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2020, 497.89 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2021, 505.59 ,
CAN,AIREMISSION,CO2,MLN_TONNE,A,2022, 511.57 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2000, 812.31 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2001, 831.48 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2002, 817.90 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2003, 820.69 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2004, 804.62 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2005, 786.93 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2006, 798.68 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2007, 767.02 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2008, 773.89 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2009, 720.18 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2010, 758.85 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2011, 731.24 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2012, 745.14 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2013, 763.65 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2014, 723.11 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2015, 729.68 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2016, 734.49 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2017, 718.79 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2018, 694.54 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2019, 645.40 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2020, 593.10 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2021, 624.09 ,
DEU,AIREMISSION,CO2,MLN_TONNE,A,2022, 603.74 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2000, 364.67 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2001, 368.21 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2002, 362.52 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2003, 368.28 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2004, 368.88 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2005, 371.71 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2006, 362.43 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2007, 353.57 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2008, 349.33 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2009, 336.20 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2010, 340.05 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2011, 326.60 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2012, 330.45 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2013, 330.85 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2014, 298.72 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2015, 304.19 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2016, 306.63 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2017, 310.73 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2018, 299.95 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2019, 293.46 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2020, 260.54 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2021, 291.76 ,
FRA,AIREMISSION,CO2,MLN_TONNE,A,2022, 275.75 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2000, 520.56 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2001, 535.30 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2002, 521.18 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2003, 533.47 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2004, 533.39 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2005, 531.65 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2006, 532.90 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2007, 521.73 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2008, 507.59 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2009, 459.84 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2010, 477.07 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2011, 438.27 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2012, 460.40 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2013, 446.95 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2014, 407.78 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2015, 392.94 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2016, 372.86 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2017, 360.40 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2018, 352.71 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2019, 338.04 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2020, 300.55 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2021, 320.81 ,
GBR,AIREMISSION,CO2,MLN_TONNE,A,2022, 308.73 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2000, 420.44 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2001, 420.18 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2002, 427.18 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2003, 445.26 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2004, 454.99 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2005, 456.43 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2006, 449.18 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2007, 441.46 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2008, 428.85 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2009, 383.72 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2010, 391.99 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2011, 384.11 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2012, 366.68 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2013, 337.58 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2014, 319.16 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2015, 329.66 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2016, 325.66 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2017, 321.48 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2018, 317.13 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2019, 309.31 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2020, 274.23 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2021, 309.65 ,
ITA,AIREMISSION,CO2,MLN_TONNE,A,2022, 296.34 ,
JPN,AIREMISSION,CO2,MLN_TONNE,A,2000," 1,149.36 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2001," 1,137.99 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2002," 1,174.34 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2003," 1,182.01 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2004," 1,176.00 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2005," 1,183.22 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2006," 1,161.08 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2007," 1,197.35 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2008," 1,130.30 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2009," 1,077.09 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2010," 1,132.93 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2011," 1,188.81 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2012," 1,228.74 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2013," 1,240.61 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2014," 1,191.02 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2015," 1,152.20 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2016," 1,139.30 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2017," 1,125.10 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2018," 1,085.63 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2019," 1,048.26 ",
JPN,AIREMISSION,CO2,MLN_TONNE,A,2020, 990.63 ,
JPN,AIREMISSION,CO2,MLN_TONNE,A,2021, 998.14 ,
JPN,AIREMISSION,CO2,MLN_TONNE,A,2022, 988.85 ,
OECD,AIREMISSION,CO2,MLN_TONNE,A,2000," 12,603.92 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2001," 12,623.37 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2002," 12,531.07 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2003," 12,752.50 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2004," 12,870.90 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2005," 12,910.96 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2006," 12,835.80 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2007," 12,991.30 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2008," 12,670.32 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2009," 11,947.83 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2010," 12,441.35 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2011," 12,203.35 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2012," 12,018.15 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2013," 12,080.77 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2014," 11,831.05 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2015," 11,763.74 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2016," 11,695.49 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2017," 11,663.24 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2018," 11,681.32 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2019," 11,307.98 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2020," 10,283.68 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2021," 10,848.22 ",
OECD,AIREMISSION,CO2,MLN_TONNE,A,2022," 10,724.01 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2000," 5,729.82 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2001," 5,702.11 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2002," 5,545.41 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2003," 5,610.69 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2004," 5,688.70 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2005," 5,703.15 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2006," 5,602.40 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2007," 5,686.67 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2008," 5,512.45 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2009," 5,120.63 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2010," 5,352.05 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2011," 5,128.11 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2012," 4,902.94 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2013," 5,038.52 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2014," 5,046.56 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2015," 4,928.61 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2016," 4,838.48 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2017," 4,761.30 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2018," 4,910.38 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2019," 4,744.81 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2020," 4,257.63 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2021," 4,549.26 ",
USA,AIREMISSION,CO2,MLN_TONNE,A,2022," 4,549.59 ",
