LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, CO2_PER_CAP ,Flag Codes
CAN,AIREMISSION,CO2,TONNE_CAP,A,2000, 16.41 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2001, 16.00 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2002, 16.41 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2003, 16.89 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2004, 16.27 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2005, 16.49 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2006, 16.04 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2007, 16.78 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2008, 16.05 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2009, 15.07 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2010, 15.32 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2011, 15.51 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2012, 15.27 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2013, 15.35 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2014, 15.34 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2015, 15.14 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2016, 14.91 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2017, 14.99 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2018, 15.08 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2019, 14.67 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2020, 13.09 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2021, 13.22 ,
CAN,AIREMISSION,CO2,TONNE_CAP,A,2022, 13.14 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2000, 9.97 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2001, 10.20 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2002, 10.03 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2003, 10.06 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2004, 9.88 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2005, 9.68 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2006, 9.84 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2007, 9.47 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2008, 9.58 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2009, 8.95 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2010, 9.45 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2011, 9.11 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2012, 9.27 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2013, 9.47 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2014, 8.93 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2015, 8.93 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2016, 8.92 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2017, 8.70 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2018, 8.38 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2019, 7.77 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2020, 7.13 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2021, 7.50 ,
DEU,AIREMISSION,CO2,TONNE_CAP,A,2022, 7.21 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2000, 5.99 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2001, 6.00 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2002, 5.87 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2003, 5.92 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2004, 5.88 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2005, 5.88 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2006, 5.70 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2007, 5.52 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2008, 5.43 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2009, 5.20 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2010, 5.23 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2011, 5.00 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2012, 5.03 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2013, 5.01 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2014, 4.51 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2015, 4.57 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2016, 4.59 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2017, 4.63 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2018, 4.45 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2019, 4.33 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2020, 3.83 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2021, 4.28 ,
FRA,AIREMISSION,CO2,TONNE_CAP,A,2022, 4.03 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2000, 8.84 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2001, 9.06 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2002, 8.78 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2003, 8.95 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2004, 8.90 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2005, 8.80 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2006, 8.76 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2007, 8.51 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2008, 8.21 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2009, 7.39 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2010, 7.60 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2011, 6.93 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2012, 7.23 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2013, 6.97 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2014, 6.31 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2015, 6.04 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2016, 5.68 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2017, 5.46 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2018, 5.31 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2019, 5.06 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2020, 4.48 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2021, 4.75 ,
GBR,AIREMISSION,CO2,TONNE_CAP,A,2022, 4.55 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2000, 7.38 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2001, 7.37 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2002, 7.48 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2003, 7.76 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2004, 7.87 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2005, 7.85 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2006, 7.69 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2007, 7.51 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2008, 7.24 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2009, 6.44 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2010, 6.55 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2011, 6.40 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2012, 6.09 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2013, 5.60 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2014, 5.29 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2015, 5.47 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2016, 5.42 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2017, 5.36 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2018, 5.30 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2019, 5.18 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2020, 4.61 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2021, 5.24 ,
ITA,AIREMISSION,CO2,TONNE_CAP,A,2022, 5.03 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2000, 9.06 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2001, 8.95 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2002, 9.22 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2003, 9.26 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2004, 9.21 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2005, 9.26 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2006, 9.08 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2007, 9.36 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2008, 8.83 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2009, 8.41 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2010, 8.85 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2011, 9.30 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2012, 9.63 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2013, 9.74 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2014, 9.36 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2015, 9.07 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2016, 8.98 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2017, 8.88 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2018, 8.59 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2019, 8.31 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2020, 7.88 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2021, 7.95 ,
JPN,AIREMISSION,CO2,TONNE_CAP,A,2022, 7.91 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2000, 10.48 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2001, 10.42 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2002, 10.27 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2003, 10.38 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2004, 10.40 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2005, 10.36 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2006, 10.23 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2007, 10.28 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2008, 9.95 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2009, 9.31 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2010, 9.63 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2011, 9.39 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2012, 9.19 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2013, 9.19 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2014, 8.94 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2015, 8.84 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2016, 8.73 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2017, 8.66 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2018, 8.63 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2019, 8.30 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2020, 7.52 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2021, 7.91 ,
OECD,AIREMISSION,CO2,TONNE_CAP,A,2022, 7.78 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2000, 20.29 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2001, 19.99 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2002, 19.26 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2003, 19.31 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2004, 19.40 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2005, 19.27 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2006, 18.75 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2007, 18.85 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2008, 18.10 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2009, 16.67 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2010, 17.28 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2011, 16.44 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2012, 15.60 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2013, 15.93 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2014, 15.84 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2015, 15.36 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2016, 14.97 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2017, 14.64 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2018, 15.02 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2019, 14.44 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2020, 12.90 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2021, 13.76 ,
USA,AIREMISSION,CO2,TONNE_CAP,A,2022, 13.64 ,
