LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,GNI_MLN_USD,Flag Codes
CAN,GNI,TOT,MLN_USD,A,2000,877362.84,
CAN,GNI,TOT,MLN_USD,A,2001,911387.522,
CAN,GNI,TOT,MLN_USD,A,2002,946439.677,
CAN,GNI,TOT,MLN_USD,A,2003,998506.125,
CAN,GNI,TOT,MLN_USD,A,2004,1060259.268,
CAN,GNI,TOT,MLN_USD,A,2005,1147389.977,
CAN,GNI,TOT,MLN_USD,A,2006,1221860.581,
CAN,GNI,TOT,MLN_USD,A,2007,1282434.531,
CAN,GNI,TOT,MLN_USD,A,2008,1322673.512,
CAN,GNI,TOT,MLN_USD,A,2009,1284496.079,
CAN,GNI,TOT,MLN_USD,A,2010,1336629.014,
CAN,GNI,TOT,MLN_USD,A,2011,1403781.639,
CAN,GNI,TOT,MLN_USD,A,2012,1442044.971,
CAN,GNI,TOT,MLN_USD,A,2013,1530452.82,
CAN,GNI,TOT,MLN_USD,A,2014,1595197.012,
CAN,GNI,TOT,MLN_USD,A,2015,1570418.974,
CAN,GNI,TOT,MLN_USD,A,2016,1657591.268,
CAN,GNI,TOT,MLN_USD,A,2017,1743307.558,
CAN,GNI,TOT,MLN_USD,A,2018,1821482.384,
CAN,GNI,TOT,MLN_USD,A,2019,1877056.926,
CAN,GNI,TOT,MLN_USD,A,2020,1824474.213,
CAN,GNI,TOT,MLN_USD,A,2021,2114342.859,
CAN,GNI,TOT,MLN_USD,A,2022,2365542.596,
DEU,GNI,TOT,MLN_USD,A,2000,2223777.516,
DEU,GNI,TOT,MLN_USD,A,2001,2320422.919,
DEU,GNI,TOT,MLN_USD,A,2002,2381367.032,
DEU,GNI,TOT,MLN_USD,A,2003,2443506.412,
DEU,GNI,TOT,MLN_USD,A,2004,2601243.784,
DEU,GNI,TOT,MLN_USD,A,2005,2643688.179,
DEU,GNI,TOT,MLN_USD,A,2006,2861582.362,
DEU,GNI,TOT,MLN_USD,A,2007,3029274.933,
DEU,GNI,TOT,MLN_USD,A,2008,3133425.55,
DEU,GNI,TOT,MLN_USD,A,2009,3083196.941,
DEU,GNI,TOT,MLN_USD,A,2010,3248766.128,
DEU,GNI,TOT,MLN_USD,A,2011,3502469.662,
DEU,GNI,TOT,MLN_USD,A,2012,3570905.922,
DEU,GNI,TOT,MLN_USD,A,2013,3712581.456,
DEU,GNI,TOT,MLN_USD,A,2014,3883391.283,
DEU,GNI,TOT,MLN_USD,A,2015,3977709.391,
DEU,GNI,TOT,MLN_USD,A,2016,4268495.945,
DEU,GNI,TOT,MLN_USD,A,2017,4491249.607,
DEU,GNI,TOT,MLN_USD,A,2018,4730329.92,
DEU,GNI,TOT,MLN_USD,A,2019,5021458.259,
DEU,GNI,TOT,MLN_USD,A,2020,4952949.92,
DEU,GNI,TOT,MLN_USD,A,2021,5351644.541,
DEU,GNI,TOT,MLN_USD,A,2022,5799440.922,
FRA,GNI,TOT,MLN_USD,A,2000,1614556.779,
FRA,GNI,TOT,MLN_USD,A,2001,1717636.438,
FRA,GNI,TOT,MLN_USD,A,2002,1781287.653,
FRA,GNI,TOT,MLN_USD,A,2003,1776978.14,
FRA,GNI,TOT,MLN_USD,A,2004,1847513.429,
FRA,GNI,TOT,MLN_USD,A,2005,1959874.804,
FRA,GNI,TOT,MLN_USD,A,2006,2107010.556,
FRA,GNI,TOT,MLN_USD,A,2007,2228213.747,
FRA,GNI,TOT,MLN_USD,A,2008,2308470.332,
FRA,GNI,TOT,MLN_USD,A,2009,2295454.171,
FRA,GNI,TOT,MLN_USD,A,2010,2388307.084,
FRA,GNI,TOT,MLN_USD,A,2011,2511514.379,
FRA,GNI,TOT,MLN_USD,A,2012,2528098.584,
FRA,GNI,TOT,MLN_USD,A,2013,2666953.157,
FRA,GNI,TOT,MLN_USD,A,2014,2719729.765,
FRA,GNI,TOT,MLN_USD,A,2015,2777203.33,
FRA,GNI,TOT,MLN_USD,A,2016,2924691.941,
FRA,GNI,TOT,MLN_USD,A,2017,3050431.039,
FRA,GNI,TOT,MLN_USD,A,2018,3197837.495,
FRA,GNI,TOT,MLN_USD,A,2019,3527045.509,
FRA,GNI,TOT,MLN_USD,A,2020,3370368.735,
FRA,GNI,TOT,MLN_USD,A,2021,3728408.323,P
FRA,GNI,TOT,MLN_USD,A,2022,3984097.963,P
GBR,GNI,TOT,MLN_USD,A,2000,1566720.798,
GBR,GNI,TOT,MLN_USD,A,2001,1659267.195,
GBR,GNI,TOT,MLN_USD,A,2002,1747019.763,
GBR,GNI,TOT,MLN_USD,A,2003,1829061.008,
GBR,GNI,TOT,MLN_USD,A,2004,1938769.636,
GBR,GNI,TOT,MLN_USD,A,2005,1997217.384,
GBR,GNI,TOT,MLN_USD,A,2006,2105209.959,
GBR,GNI,TOT,MLN_USD,A,2007,2158486.275,
GBR,GNI,TOT,MLN_USD,A,2008,2241112.781,
GBR,GNI,TOT,MLN_USD,A,2009,2162796.806,
GBR,GNI,TOT,MLN_USD,A,2010,2291203.499,
GBR,GNI,TOT,MLN_USD,A,2011,2364606.172,
GBR,GNI,TOT,MLN_USD,A,2012,2419712.257,
GBR,GNI,TOT,MLN_USD,A,2013,2516786.906,
GBR,GNI,TOT,MLN_USD,A,2014,2619026.42,
GBR,GNI,TOT,MLN_USD,A,2015,2706922.397,
GBR,GNI,TOT,MLN_USD,A,2016,2824432.753,
GBR,GNI,TOT,MLN_USD,A,2017,3009161.827,
GBR,GNI,TOT,MLN_USD,A,2018,3087111.219,
GBR,GNI,TOT,MLN_USD,A,2019,3332512.465,
GBR,GNI,TOT,MLN_USD,A,2020,3151693.755,
GBR,GNI,TOT,MLN_USD,A,2021,3561497.18,
GBR,GNI,TOT,MLN_USD,A,2022,3867694.391,
ITA,GNI,TOT,MLN_USD,A,2000,1535870.708,
ITA,GNI,TOT,MLN_USD,A,2001,1592778.364,
ITA,GNI,TOT,MLN_USD,A,2002,1632366.378,
ITA,GNI,TOT,MLN_USD,A,2003,1665394.431,
ITA,GNI,TOT,MLN_USD,A,2004,1702100.703,
ITA,GNI,TOT,MLN_USD,A,2005,1749401.992,
ITA,GNI,TOT,MLN_USD,A,2006,1894455.835,
ITA,GNI,TOT,MLN_USD,A,2007,1997147.765,
ITA,GNI,TOT,MLN_USD,A,2008,2070618.404,
ITA,GNI,TOT,MLN_USD,A,2009,2043524.905,
ITA,GNI,TOT,MLN_USD,A,2010,2079327.505,
ITA,GNI,TOT,MLN_USD,A,2011,2167673.491,
ITA,GNI,TOT,MLN_USD,A,2012,2169727.742,
ITA,GNI,TOT,MLN_USD,A,2013,2183585.88,
ITA,GNI,TOT,MLN_USD,A,2014,2200448.394,
ITA,GNI,TOT,MLN_USD,A,2015,2225430.267,
ITA,GNI,TOT,MLN_USD,A,2016,2427622.314,
ITA,GNI,TOT,MLN_USD,A,2017,2531220.084,
ITA,GNI,TOT,MLN_USD,A,2018,2629050.395,
ITA,GNI,TOT,MLN_USD,A,2019,2797692.06,
ITA,GNI,TOT,MLN_USD,A,2020,2660833.91,
ITA,GNI,TOT,MLN_USD,A,2021,2989175.056,
ITA,GNI,TOT,MLN_USD,A,2022,3297191.598,
JPN,GNI,TOT,MLN_USD,A,2000,3511271.812,
JPN,GNI,TOT,MLN_USD,A,2001,3608076.644,
JPN,GNI,TOT,MLN_USD,A,2002,3701173.669,
JPN,GNI,TOT,MLN_USD,A,2003,3814570.885,
JPN,GNI,TOT,MLN_USD,A,2004,4014995.191,
JPN,GNI,TOT,MLN_USD,A,2005,4201587.702,
JPN,GNI,TOT,MLN_USD,A,2006,4415235.253,
JPN,GNI,TOT,MLN_USD,A,2007,4619429.787,
JPN,GNI,TOT,MLN_USD,A,2008,4638617.186,
JPN,GNI,TOT,MLN_USD,A,2009,4403592.879,
JPN,GNI,TOT,MLN_USD,A,2010,4645945.149,
JPN,GNI,TOT,MLN_USD,A,2011,4764015.857,
JPN,GNI,TOT,MLN_USD,A,2012,4932125.334,
JPN,GNI,TOT,MLN_USD,A,2013,5194308.166,
JPN,GNI,TOT,MLN_USD,A,2014,5221591.072,
JPN,GNI,TOT,MLN_USD,A,2015,5404452.916,
JPN,GNI,TOT,MLN_USD,A,2016,5338418.889,
JPN,GNI,TOT,MLN_USD,A,2017,5456929.847,
JPN,GNI,TOT,MLN_USD,A,2018,5548453.013,
JPN,GNI,TOT,MLN_USD,A,2019,5616185.44,
JPN,GNI,TOT,MLN_USD,A,2020,5545436.15,
JPN,GNI,TOT,MLN_USD,A,2021,5836941.184,
OECD,GNI,TOT,MLN_USD,A,2009,42570447.05,E
OECD,GNI,TOT,MLN_USD,A,2010,44775720.06,E
OECD,GNI,TOT,MLN_USD,A,2011,46983391.7,E
OECD,GNI,TOT,MLN_USD,A,2012,48696745.56,E
OECD,GNI,TOT,MLN_USD,A,2013,50661547.27,E
OECD,GNI,TOT,MLN_USD,A,2014,52591604.93,E
OECD,GNI,TOT,MLN_USD,A,2015,54309955.02,E
OECD,GNI,TOT,MLN_USD,A,2016,56382505.53,E
OECD,GNI,TOT,MLN_USD,A,2017,58969367.48,E
USA,GNI,TOT,MLN_USD,A,2000,10383667,
USA,GNI,TOT,MLN_USD,A,2001,10746067,
USA,GNI,TOT,MLN_USD,A,2002,11052223,
USA,GNI,TOT,MLN_USD,A,2003,11534846,
USA,GNI,TOT,MLN_USD,A,2004,12317643,
USA,GNI,TOT,MLN_USD,A,2005,13166516,
USA,GNI,TOT,MLN_USD,A,2006,14066382,
USA,GNI,TOT,MLN_USD,A,2007,14550103,
USA,GNI,TOT,MLN_USD,A,2008,14718111,
USA,GNI,TOT,MLN_USD,A,2009,14426269,
USA,GNI,TOT,MLN_USD,A,2010,15172073,
USA,GNI,TOT,MLN_USD,A,2011,15849978,
USA,GNI,TOT,MLN_USD,A,2012,16675595,
USA,GNI,TOT,MLN_USD,A,2013,17188331,
USA,GNI,TOT,MLN_USD,A,2014,18043094,
USA,GNI,TOT,MLN_USD,A,2015,18660910,
USA,GNI,TOT,MLN_USD,A,2016,19020479,
USA,GNI,TOT,MLN_USD,A,2017,19885551,
USA,GNI,TOT,MLN_USD,A,2018,20937355,
USA,GNI,TOT,MLN_USD,A,2019,21764537,
USA,GNI,TOT,MLN_USD,A,2020,21472360,
USA,GNI,TOT,MLN_USD,A,2021,23617113,
