LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,REN_EN_KTOE,Flag Codes
CAN,RENEWABLE,TOT,KTOE,A,2000,44581.9242,
CAN,RENEWABLE,TOT,KTOE,A,2001,41478.1123,
CAN,RENEWABLE,TOT,KTOE,A,2002,44148.2756,
CAN,RENEWABLE,TOT,KTOE,A,2003,42822.6425,
CAN,RENEWABLE,TOT,KTOE,A,2004,44200.0572,
CAN,RENEWABLE,TOT,KTOE,A,2005,44052.3741,
CAN,RENEWABLE,TOT,KTOE,A,2006,42792.8394,
CAN,RENEWABLE,TOT,KTOE,A,2007,44743.3315,
CAN,RENEWABLE,TOT,KTOE,A,2008,44764.1957,
CAN,RENEWABLE,TOT,KTOE,A,2009,43985.7226,
CAN,RENEWABLE,TOT,KTOE,A,2010,42556.8494,
CAN,RENEWABLE,TOT,KTOE,A,2011,45113.6208,
CAN,RENEWABLE,TOT,KTOE,A,2012,45673.1226,
CAN,RENEWABLE,TOT,KTOE,A,2013,48248.3527,
CAN,RENEWABLE,TOT,KTOE,A,2014,48075.4467,
CAN,RENEWABLE,TOT,KTOE,A,2015,47850.473,
CAN,RENEWABLE,TOT,KTOE,A,2016,48748.3185,
CAN,RENEWABLE,TOT,KTOE,A,2017,50267.7893,
CAN,RENEWABLE,TOT,KTOE,A,2018,49913.8866,
CAN,RENEWABLE,TOT,KTOE,A,2019,49573.1873,
CAN,RENEWABLE,TOT,KTOE,A,2020,49060.2339,
CAN,RENEWABLE,TOT,KTOE,A,2021,46727.1931,
DEU,RENEWABLE,TOT,KTOE,A,2000,8983.3047,
DEU,RENEWABLE,TOT,KTOE,A,2001,9636.3725,
DEU,RENEWABLE,TOT,KTOE,A,2002,10782.7313,
DEU,RENEWABLE,TOT,KTOE,A,2003,13761.9938,
DEU,RENEWABLE,TOT,KTOE,A,2004,16008.2356,
DEU,RENEWABLE,TOT,KTOE,A,2005,18560.6579,
DEU,RENEWABLE,TOT,KTOE,A,2006,22650.9253,
DEU,RENEWABLE,TOT,KTOE,A,2007,26187.2173,
DEU,RENEWABLE,TOT,KTOE,A,2008,27203.4528,
DEU,RENEWABLE,TOT,KTOE,A,2009,27084.5905,
DEU,RENEWABLE,TOT,KTOE,A,2010,30757.0343,
DEU,RENEWABLE,TOT,KTOE,A,2011,31852.1844,
DEU,RENEWABLE,TOT,KTOE,A,2012,35785.3853,
DEU,RENEWABLE,TOT,KTOE,A,2013,36881.4335,
DEU,RENEWABLE,TOT,KTOE,A,2014,36625.3975,
DEU,RENEWABLE,TOT,KTOE,A,2015,39025.49,
DEU,RENEWABLE,TOT,KTOE,A,2016,38853.081,
DEU,RENEWABLE,TOT,KTOE,A,2017,41446.8485,
DEU,RENEWABLE,TOT,KTOE,A,2018,42348.1197,
DEU,RENEWABLE,TOT,KTOE,A,2019,44054.4028,
DEU,RENEWABLE,TOT,KTOE,A,2020,45566.4797,
DEU,RENEWABLE,TOT,KTOE,A,2021,45015.9179,
FRA,RENEWABLE,TOT,KTOE,A,2000,15738.7384,
FRA,RENEWABLE,TOT,KTOE,A,2001,16586.3791,
FRA,RENEWABLE,TOT,KTOE,A,2002,15014.5165,
FRA,RENEWABLE,TOT,KTOE,A,2003,15457.9121,
FRA,RENEWABLE,TOT,KTOE,A,2004,15716.4464,
FRA,RENEWABLE,TOT,KTOE,A,2005,15730.0602,
FRA,RENEWABLE,TOT,KTOE,A,2006,15377.1252,
FRA,RENEWABLE,TOT,KTOE,A,2007,16650.6225,
FRA,RENEWABLE,TOT,KTOE,A,2008,18729.5345,
FRA,RENEWABLE,TOT,KTOE,A,2009,18894.6499,
FRA,RENEWABLE,TOT,KTOE,A,2010,20997.4182,
FRA,RENEWABLE,TOT,KTOE,A,2011,18021.708,
FRA,RENEWABLE,TOT,KTOE,A,2012,21150.5479,
FRA,RENEWABLE,TOT,KTOE,A,2013,23559.2094,
FRA,RENEWABLE,TOT,KTOE,A,2014,21913.5517,
FRA,RENEWABLE,TOT,KTOE,A,2015,22506.9874,
FRA,RENEWABLE,TOT,KTOE,A,2016,24146.0861,
FRA,RENEWABLE,TOT,KTOE,A,2017,23670.8175,
FRA,RENEWABLE,TOT,KTOE,A,2018,25533.222,
FRA,RENEWABLE,TOT,KTOE,A,2019,25740.7664,
FRA,RENEWABLE,TOT,KTOE,A,2020,25862.1968,
FRA,RENEWABLE,TOT,KTOE,A,2021,27402.1698,
GBR,RENEWABLE,TOT,KTOE,A,2000,2263.7671,
GBR,RENEWABLE,TOT,KTOE,A,2001,2274.7637,
GBR,RENEWABLE,TOT,KTOE,A,2002,2524.3008,
GBR,RENEWABLE,TOT,KTOE,A,2003,2705.2323,
GBR,RENEWABLE,TOT,KTOE,A,2004,3241.9062,
GBR,RENEWABLE,TOT,KTOE,A,2005,3904.6954,
GBR,RENEWABLE,TOT,KTOE,A,2006,4202.764,
GBR,RENEWABLE,TOT,KTOE,A,2007,4529.9331,
GBR,RENEWABLE,TOT,KTOE,A,2008,5321.6654,
GBR,RENEWABLE,TOT,KTOE,A,2009,5986.8363,
GBR,RENEWABLE,TOT,KTOE,A,2010,6638.4258,
GBR,RENEWABLE,TOT,KTOE,A,2011,7494.3043,
GBR,RENEWABLE,TOT,KTOE,A,2012,7992.4786,
GBR,RENEWABLE,TOT,KTOE,A,2013,9557.3519,
GBR,RENEWABLE,TOT,KTOE,A,2014,11319.614,
GBR,RENEWABLE,TOT,KTOE,A,2015,13684.0956,
GBR,RENEWABLE,TOT,KTOE,A,2016,14185.9184,
GBR,RENEWABLE,TOT,KTOE,A,2017,15866.7573,
GBR,RENEWABLE,TOT,KTOE,A,2018,17900.0057,
GBR,RENEWABLE,TOT,KTOE,A,2019,19507.348,
GBR,RENEWABLE,TOT,KTOE,A,2020,20978.5742,
GBR,RENEWABLE,TOT,KTOE,A,2021,20720.8501,
ITA,RENEWABLE,TOT,KTOE,A,2000,10112.7879,
ITA,RENEWABLE,TOT,KTOE,A,2001,10341.1436,
ITA,RENEWABLE,TOT,KTOE,A,2002,10889.3477,
ITA,RENEWABLE,TOT,KTOE,A,2003,12909.2863,
ITA,RENEWABLE,TOT,KTOE,A,2004,12963.4614,
ITA,RENEWABLE,TOT,KTOE,A,2005,14106.7928,
ITA,RENEWABLE,TOT,KTOE,A,2006,15326.488,
ITA,RENEWABLE,TOT,KTOE,A,2007,16945.9646,
ITA,RENEWABLE,TOT,KTOE,A,2008,19707.1519,
ITA,RENEWABLE,TOT,KTOE,A,2009,21026.5692,
ITA,RENEWABLE,TOT,KTOE,A,2010,21864.3096,
ITA,RENEWABLE,TOT,KTOE,A,2011,21025.8208,
ITA,RENEWABLE,TOT,KTOE,A,2012,23884.7289,
ITA,RENEWABLE,TOT,KTOE,A,2013,26370.6296,
ITA,RENEWABLE,TOT,KTOE,A,2014,26512.2644,
ITA,RENEWABLE,TOT,KTOE,A,2015,26268.7148,
ITA,RENEWABLE,TOT,KTOE,A,2016,26017.9495,
ITA,RENEWABLE,TOT,KTOE,A,2017,26170.7084,
ITA,RENEWABLE,TOT,KTOE,A,2018,26685.5639,
ITA,RENEWABLE,TOT,KTOE,A,2019,27013.6676,
ITA,RENEWABLE,TOT,KTOE,A,2020,26869.4362,
ITA,RENEWABLE,TOT,KTOE,A,2021,27128.5329,
JPN,RENEWABLE,TOT,KTOE,A,2000,15498.5099,
JPN,RENEWABLE,TOT,KTOE,A,2001,14801.615,
JPN,RENEWABLE,TOT,KTOE,A,2002,15558.7354,
JPN,RENEWABLE,TOT,KTOE,A,2003,17054.3113,
JPN,RENEWABLE,TOT,KTOE,A,2004,17298.1098,
JPN,RENEWABLE,TOT,KTOE,A,2005,16779.2097,
JPN,RENEWABLE,TOT,KTOE,A,2006,17883.7804,
JPN,RENEWABLE,TOT,KTOE,A,2007,17253.6268,
JPN,RENEWABLE,TOT,KTOE,A,2008,16795.729,
JPN,RENEWABLE,TOT,KTOE,A,2009,16661.2925,
JPN,RENEWABLE,TOT,KTOE,A,2010,18367.8692,
JPN,RENEWABLE,TOT,KTOE,A,2011,18507.7213,
JPN,RENEWABLE,TOT,KTOE,A,2012,17799.7948,
JPN,RENEWABLE,TOT,KTOE,A,2013,19169.3505,
JPN,RENEWABLE,TOT,KTOE,A,2014,20319.1461,
JPN,RENEWABLE,TOT,KTOE,A,2015,21953.8016,
JPN,RENEWABLE,TOT,KTOE,A,2016,21555.3609,
JPN,RENEWABLE,TOT,KTOE,A,2017,23632.9526,
JPN,RENEWABLE,TOT,KTOE,A,2018,24736.274,
JPN,RENEWABLE,TOT,KTOE,A,2019,26115.2354,
JPN,RENEWABLE,TOT,KTOE,A,2020,26762.0152,
JPN,RENEWABLE,TOT,KTOE,A,2021,28457.1157,
USA,RENEWABLE,TOT,KTOE,A,2000,101974.1997,
USA,RENEWABLE,TOT,KTOE,A,2001,89223.7483,
USA,RENEWABLE,TOT,KTOE,A,2002,91337.0979,
USA,RENEWABLE,TOT,KTOE,A,2003,97264.428,
USA,RENEWABLE,TOT,KTOE,A,2004,101409.1986,
USA,RENEWABLE,TOT,KTOE,A,2005,105196.5438,
USA,RENEWABLE,TOT,KTOE,A,2006,109624.8402,
USA,RENEWABLE,TOT,KTOE,A,2007,109094.1443,
USA,RENEWABLE,TOT,KTOE,A,2008,115485.4005,
USA,RENEWABLE,TOT,KTOE,A,2009,117736.432,
USA,RENEWABLE,TOT,KTOE,A,2010,125874.5329,
USA,RENEWABLE,TOT,KTOE,A,2011,135225.1128,
USA,RENEWABLE,TOT,KTOE,A,2012,138130.7439,
USA,RENEWABLE,TOT,KTOE,A,2013,148137.394,
USA,RENEWABLE,TOT,KTOE,A,2014,152531.6591,
USA,RENEWABLE,TOT,KTOE,A,2015,149656.4302,
USA,RENEWABLE,TOT,KTOE,A,2016,155087.35,
USA,RENEWABLE,TOT,KTOE,A,2017,162450.0176,
USA,RENEWABLE,TOT,KTOE,A,2018,172385.0877,
USA,RENEWABLE,TOT,KTOE,A,2019,174899.3197,
USA,RENEWABLE,TOT,KTOE,A,2020,171874.4973,
USA,RENEWABLE,TOT,KTOE,A,2021,168327.8326,
