LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, ENV_PAT_PC_TOT ,Flag Codes
CAN,PATENT_ENV,TOT,PC,A,2000, 8.03 ,
CAN,PATENT_ENV,TOT,PC,A,2001, 7.85 ,
CAN,PATENT_ENV,TOT,PC,A,2002, 8.92 ,
CAN,PATENT_ENV,TOT,PC,A,2003, 9.88 ,
CAN,PATENT_ENV,TOT,PC,A,2004, 9.80 ,
CAN,PATENT_ENV,TOT,PC,A,2005, 9.88 ,
CAN,PATENT_ENV,TOT,PC,A,2006, 10.19 ,
CAN,PATENT_ENV,TOT,PC,A,2007, 10.60 ,
CAN,PATENT_ENV,TOT,PC,A,2008, 11.03 ,
CAN,PATENT_ENV,TOT,PC,A,2009, 11.59 ,
CAN,PATENT_ENV,TOT,PC,A,2010, 12.58 ,
CAN,PATENT_ENV,TOT,PC,A,2011, 13.11 ,
CAN,PATENT_ENV,TOT,PC,A,2012, 12.85 ,
CAN,PATENT_ENV,TOT,PC,A,2013, 11.73 ,
CAN,PATENT_ENV,TOT,PC,A,2014, 12.56 ,
CAN,PATENT_ENV,TOT,PC,A,2015, 12.11 ,
CAN,PATENT_ENV,TOT,PC,A,2016, 11.97 ,
CAN,PATENT_ENV,TOT,PC,A,2017, 12.20 ,
CAN,PATENT_ENV,TOT,PC,A,2018, 11.42 ,
CAN,PATENT_ENV,TOT,PC,A,2019, 11.42 ,
CAN,PATENT_ENV,TOT,PC,A,2020, 10.85 ,
DEU,PATENT_ENV,TOT,PC,A,2000, 9.77 ,
DEU,PATENT_ENV,TOT,PC,A,2001, 9.89 ,
DEU,PATENT_ENV,TOT,PC,A,2002, 9.85 ,
DEU,PATENT_ENV,TOT,PC,A,2003, 9.32 ,
DEU,PATENT_ENV,TOT,PC,A,2004, 9.43 ,
DEU,PATENT_ENV,TOT,PC,A,2005, 9.81 ,
DEU,PATENT_ENV,TOT,PC,A,2006, 11.06 ,
DEU,PATENT_ENV,TOT,PC,A,2007, 11.67 ,
DEU,PATENT_ENV,TOT,PC,A,2008, 13.63 ,
DEU,PATENT_ENV,TOT,PC,A,2009, 14.81 ,
DEU,PATENT_ENV,TOT,PC,A,2010, 15.53 ,
DEU,PATENT_ENV,TOT,PC,A,2011, 15.75 ,
DEU,PATENT_ENV,TOT,PC,A,2012, 15.34 ,
DEU,PATENT_ENV,TOT,PC,A,2013, 14.35 ,
DEU,PATENT_ENV,TOT,PC,A,2014, 14.42 ,
DEU,PATENT_ENV,TOT,PC,A,2015, 13.92 ,
DEU,PATENT_ENV,TOT,PC,A,2016, 13.91 ,
DEU,PATENT_ENV,TOT,PC,A,2017, 14.29 ,
DEU,PATENT_ENV,TOT,PC,A,2018, 15.07 ,
DEU,PATENT_ENV,TOT,PC,A,2019, 13.61 ,
DEU,PATENT_ENV,TOT,PC,A,2020, 14.50 ,
FRA,PATENT_ENV,TOT,PC,A,2000, 6.50 ,
FRA,PATENT_ENV,TOT,PC,A,2001, 6.30 ,
FRA,PATENT_ENV,TOT,PC,A,2002, 6.83 ,
FRA,PATENT_ENV,TOT,PC,A,2003, 8.52 ,
FRA,PATENT_ENV,TOT,PC,A,2004, 8.31 ,
FRA,PATENT_ENV,TOT,PC,A,2005, 8.36 ,
FRA,PATENT_ENV,TOT,PC,A,2006, 9.39 ,
FRA,PATENT_ENV,TOT,PC,A,2007, 10.95 ,
FRA,PATENT_ENV,TOT,PC,A,2008, 11.26 ,
FRA,PATENT_ENV,TOT,PC,A,2009, 12.89 ,
FRA,PATENT_ENV,TOT,PC,A,2010, 13.34 ,
FRA,PATENT_ENV,TOT,PC,A,2011, 14.12 ,
FRA,PATENT_ENV,TOT,PC,A,2012, 14.99 ,
FRA,PATENT_ENV,TOT,PC,A,2013, 14.31 ,
FRA,PATENT_ENV,TOT,PC,A,2014, 13.86 ,
FRA,PATENT_ENV,TOT,PC,A,2015, 13.51 ,
FRA,PATENT_ENV,TOT,PC,A,2016, 12.26 ,
FRA,PATENT_ENV,TOT,PC,A,2017, 12.76 ,
FRA,PATENT_ENV,TOT,PC,A,2018, 13.74 ,
FRA,PATENT_ENV,TOT,PC,A,2019, 13.05 ,
FRA,PATENT_ENV,TOT,PC,A,2020, 15.39 ,
GBR,PATENT_ENV,TOT,PC,A,2000, 5.71 ,
GBR,PATENT_ENV,TOT,PC,A,2001, 5.97 ,
GBR,PATENT_ENV,TOT,PC,A,2002, 6.15 ,
GBR,PATENT_ENV,TOT,PC,A,2003, 6.74 ,
GBR,PATENT_ENV,TOT,PC,A,2004, 7.13 ,
GBR,PATENT_ENV,TOT,PC,A,2005, 7.39 ,
GBR,PATENT_ENV,TOT,PC,A,2006, 8.41 ,
GBR,PATENT_ENV,TOT,PC,A,2007, 9.06 ,
GBR,PATENT_ENV,TOT,PC,A,2008, 10.27 ,
GBR,PATENT_ENV,TOT,PC,A,2009, 11.72 ,
GBR,PATENT_ENV,TOT,PC,A,2010, 12.72 ,
GBR,PATENT_ENV,TOT,PC,A,2011, 13.28 ,
GBR,PATENT_ENV,TOT,PC,A,2012, 13.23 ,
GBR,PATENT_ENV,TOT,PC,A,2013, 12.56 ,
GBR,PATENT_ENV,TOT,PC,A,2014, 12.52 ,
GBR,PATENT_ENV,TOT,PC,A,2015, 12.71 ,
GBR,PATENT_ENV,TOT,PC,A,2016, 11.89 ,
GBR,PATENT_ENV,TOT,PC,A,2017, 11.13 ,
GBR,PATENT_ENV,TOT,PC,A,2018, 11.69 ,
GBR,PATENT_ENV,TOT,PC,A,2019, 11.48 ,
GBR,PATENT_ENV,TOT,PC,A,2020, 11.22 ,
ITA,PATENT_ENV,TOT,PC,A,2000, 5.83 ,
ITA,PATENT_ENV,TOT,PC,A,2001, 6.81 ,
ITA,PATENT_ENV,TOT,PC,A,2002, 6.30 ,
ITA,PATENT_ENV,TOT,PC,A,2003, 7.94 ,
ITA,PATENT_ENV,TOT,PC,A,2004, 7.30 ,
ITA,PATENT_ENV,TOT,PC,A,2005, 7.07 ,
ITA,PATENT_ENV,TOT,PC,A,2006, 7.84 ,
ITA,PATENT_ENV,TOT,PC,A,2007, 9.17 ,
ITA,PATENT_ENV,TOT,PC,A,2008, 10.64 ,
ITA,PATENT_ENV,TOT,PC,A,2009, 12.01 ,
ITA,PATENT_ENV,TOT,PC,A,2010, 11.36 ,
ITA,PATENT_ENV,TOT,PC,A,2011, 11.48 ,
ITA,PATENT_ENV,TOT,PC,A,2012, 12.23 ,
ITA,PATENT_ENV,TOT,PC,A,2013, 10.85 ,
ITA,PATENT_ENV,TOT,PC,A,2014, 10.43 ,
ITA,PATENT_ENV,TOT,PC,A,2015, 10.77 ,
ITA,PATENT_ENV,TOT,PC,A,2016, 10.49 ,
ITA,PATENT_ENV,TOT,PC,A,2017, 10.67 ,
ITA,PATENT_ENV,TOT,PC,A,2018, 10.08 ,
ITA,PATENT_ENV,TOT,PC,A,2019, 10.21 ,
ITA,PATENT_ENV,TOT,PC,A,2020, 10.49 ,
JPN,PATENT_ENV,TOT,PC,A,2000, 8.91 ,
JPN,PATENT_ENV,TOT,PC,A,2001, 9.42 ,
JPN,PATENT_ENV,TOT,PC,A,2002, 9.04 ,
JPN,PATENT_ENV,TOT,PC,A,2003, 9.61 ,
JPN,PATENT_ENV,TOT,PC,A,2004, 9.29 ,
JPN,PATENT_ENV,TOT,PC,A,2005, 9.46 ,
JPN,PATENT_ENV,TOT,PC,A,2006, 9.78 ,
JPN,PATENT_ENV,TOT,PC,A,2007, 10.17 ,
JPN,PATENT_ENV,TOT,PC,A,2008, 10.08 ,
JPN,PATENT_ENV,TOT,PC,A,2009, 11.61 ,
JPN,PATENT_ENV,TOT,PC,A,2010, 12.93 ,
JPN,PATENT_ENV,TOT,PC,A,2011, 13.80 ,
JPN,PATENT_ENV,TOT,PC,A,2012, 13.41 ,
JPN,PATENT_ENV,TOT,PC,A,2013, 12.95 ,
JPN,PATENT_ENV,TOT,PC,A,2014, 12.80 ,
JPN,PATENT_ENV,TOT,PC,A,2015, 12.65 ,
JPN,PATENT_ENV,TOT,PC,A,2016, 12.27 ,
JPN,PATENT_ENV,TOT,PC,A,2017, 12.37 ,
JPN,PATENT_ENV,TOT,PC,A,2018, 12.33 ,
JPN,PATENT_ENV,TOT,PC,A,2019, 11.08 ,
JPN,PATENT_ENV,TOT,PC,A,2020, 10.70 ,
OECD,PATENT_ENV,TOT,PC,A,2000, 7.51 ,
OECD,PATENT_ENV,TOT,PC,A,2001, 7.83 ,
OECD,PATENT_ENV,TOT,PC,A,2002, 7.91 ,
OECD,PATENT_ENV,TOT,PC,A,2003, 8.13 ,
OECD,PATENT_ENV,TOT,PC,A,2004, 8.36 ,
OECD,PATENT_ENV,TOT,PC,A,2005, 8.62 ,
OECD,PATENT_ENV,TOT,PC,A,2006, 9.25 ,
OECD,PATENT_ENV,TOT,PC,A,2007, 10.12 ,
OECD,PATENT_ENV,TOT,PC,A,2008, 11.19 ,
OECD,PATENT_ENV,TOT,PC,A,2009, 12.67 ,
OECD,PATENT_ENV,TOT,PC,A,2010, 13.47 ,
OECD,PATENT_ENV,TOT,PC,A,2011, 13.76 ,
OECD,PATENT_ENV,TOT,PC,A,2012, 13.59 ,
OECD,PATENT_ENV,TOT,PC,A,2013, 12.84 ,
OECD,PATENT_ENV,TOT,PC,A,2014, 12.78 ,
OECD,PATENT_ENV,TOT,PC,A,2015, 12.45 ,
OECD,PATENT_ENV,TOT,PC,A,2016, 12.55 ,
OECD,PATENT_ENV,TOT,PC,A,2017, 12.34 ,
OECD,PATENT_ENV,TOT,PC,A,2018, 12.18 ,
OECD,PATENT_ENV,TOT,PC,A,2019, 11.18 ,
OECD,PATENT_ENV,TOT,PC,A,2020, 11.15 ,
USA,PATENT_ENV,TOT,PC,A,2000, 6.10 ,
USA,PATENT_ENV,TOT,PC,A,2001, 6.41 ,
USA,PATENT_ENV,TOT,PC,A,2002, 7.08 ,
USA,PATENT_ENV,TOT,PC,A,2003, 6.87 ,
USA,PATENT_ENV,TOT,PC,A,2004, 7.28 ,
USA,PATENT_ENV,TOT,PC,A,2005, 7.77 ,
USA,PATENT_ENV,TOT,PC,A,2006, 8.50 ,
USA,PATENT_ENV,TOT,PC,A,2007, 10.02 ,
USA,PATENT_ENV,TOT,PC,A,2008, 11.76 ,
USA,PATENT_ENV,TOT,PC,A,2009, 12.85 ,
USA,PATENT_ENV,TOT,PC,A,2010, 13.14 ,
USA,PATENT_ENV,TOT,PC,A,2011, 12.61 ,
USA,PATENT_ENV,TOT,PC,A,2012, 12.88 ,
USA,PATENT_ENV,TOT,PC,A,2013, 12.00 ,
USA,PATENT_ENV,TOT,PC,A,2014, 11.77 ,
USA,PATENT_ENV,TOT,PC,A,2015, 11.62 ,
USA,PATENT_ENV,TOT,PC,A,2016, 11.61 ,
USA,PATENT_ENV,TOT,PC,A,2017, 10.99 ,
USA,PATENT_ENV,TOT,PC,A,2018, 10.34 ,
USA,PATENT_ENV,TOT,PC,A,2019, 9.27 ,
USA,PATENT_ENV,TOT,PC,A,2020, 8.74 ,
