LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, TERM_TRADE_RT ,Flag Codes
CAN,TERMTRADE,TOT,RT,A,2000, 92.95 ,
CAN,TERMTRADE,TOT,RT,A,2001, 91.94 ,
CAN,TERMTRADE,TOT,RT,A,2002, 89.77 ,
CAN,TERMTRADE,TOT,RT,A,2003, 94.72 ,
CAN,TERMTRADE,TOT,RT,A,2004, 98.94 ,
CAN,TERMTRADE,TOT,RT,A,2005, 102.42 ,
CAN,TERMTRADE,TOT,RT,A,2006, 103.50 ,
CAN,TERMTRADE,TOT,RT,A,2007, 106.61 ,
CAN,TERMTRADE,TOT,RT,A,2008, 111.23 ,
CAN,TERMTRADE,TOT,RT,A,2009, 101.10 ,
CAN,TERMTRADE,TOT,RT,A,2010, 106.45 ,
CAN,TERMTRADE,TOT,RT,A,2011, 110.03 ,
CAN,TERMTRADE,TOT,RT,A,2012, 108.37 ,
CAN,TERMTRADE,TOT,RT,A,2013, 109.05 ,
CAN,TERMTRADE,TOT,RT,A,2014, 107.52 ,
CAN,TERMTRADE,TOT,RT,A,2015, 100.00 ,
CAN,TERMTRADE,TOT,RT,A,2016, 98.89 ,
CAN,TERMTRADE,TOT,RT,A,2017, 102.49 ,
CAN,TERMTRADE,TOT,RT,A,2018, 102.88 ,
CAN,TERMTRADE,TOT,RT,A,2019, 101.98 ,
CAN,TERMTRADE,TOT,RT,A,2020, 98.59 ,
CAN,TERMTRADE,TOT,RT,A,2021, 112.62 ,
CAN,TERMTRADE,TOT,RT,A,2022, 118.52 ,
DEU,TERMTRADE,TOT,RT,A,2000, 96.70 ,
DEU,TERMTRADE,TOT,RT,A,2001, 96.73 ,
DEU,TERMTRADE,TOT,RT,A,2002, 98.64 ,
DEU,TERMTRADE,TOT,RT,A,2003, 100.48 ,
DEU,TERMTRADE,TOT,RT,A,2004, 100.63 ,
DEU,TERMTRADE,TOT,RT,A,2005, 98.91 ,
DEU,TERMTRADE,TOT,RT,A,2006, 97.24 ,
DEU,TERMTRADE,TOT,RT,A,2007, 97.72 ,
DEU,TERMTRADE,TOT,RT,A,2008, 96.06 ,
DEU,TERMTRADE,TOT,RT,A,2009, 100.36 ,
DEU,TERMTRADE,TOT,RT,A,2010, 98.12 ,
DEU,TERMTRADE,TOT,RT,A,2011, 95.59 ,
DEU,TERMTRADE,TOT,RT,A,2012, 95.43 ,
DEU,TERMTRADE,TOT,RT,A,2013, 96.46 ,
DEU,TERMTRADE,TOT,RT,A,2014, 97.70 ,
DEU,TERMTRADE,TOT,RT,A,2015, 100.00 ,
DEU,TERMTRADE,TOT,RT,A,2016, 101.76 ,
DEU,TERMTRADE,TOT,RT,A,2017, 100.90 ,
DEU,TERMTRADE,TOT,RT,A,2018, 100.12 ,
DEU,TERMTRADE,TOT,RT,A,2019, 100.84 ,E
DEU,TERMTRADE,TOT,RT,A,2020, 102.81 ,E
DEU,TERMTRADE,TOT,RT,A,2021, 99.84 ,E
DEU,TERMTRADE,TOT,RT,A,2022, 94.96 ,E
FRA,TERMTRADE,TOT,RT,A,2000, 97.33 ,
FRA,TERMTRADE,TOT,RT,A,2001, 97.62 ,
FRA,TERMTRADE,TOT,RT,A,2002, 99.32 ,
FRA,TERMTRADE,TOT,RT,A,2003, 99.29 ,
FRA,TERMTRADE,TOT,RT,A,2004, 98.38 ,
FRA,TERMTRADE,TOT,RT,A,2005, 97.06 ,
FRA,TERMTRADE,TOT,RT,A,2006, 95.59 ,
FRA,TERMTRADE,TOT,RT,A,2007, 96.69 ,
FRA,TERMTRADE,TOT,RT,A,2008, 96.05 ,
FRA,TERMTRADE,TOT,RT,A,2009, 98.60 ,
FRA,TERMTRADE,TOT,RT,A,2010, 97.24 ,
FRA,TERMTRADE,TOT,RT,A,2011, 94.92 ,
FRA,TERMTRADE,TOT,RT,A,2012, 94.62 ,
FRA,TERMTRADE,TOT,RT,A,2013, 95.71 ,
FRA,TERMTRADE,TOT,RT,A,2014, 96.91 ,
FRA,TERMTRADE,TOT,RT,A,2015, 100.00 ,
FRA,TERMTRADE,TOT,RT,A,2016, 100.99 ,
FRA,TERMTRADE,TOT,RT,A,2017, 99.68 ,
FRA,TERMTRADE,TOT,RT,A,2018, 98.54 ,
FRA,TERMTRADE,TOT,RT,A,2019, 99.39 ,
FRA,TERMTRADE,TOT,RT,A,2020, 100.24 ,
FRA,TERMTRADE,TOT,RT,A,2021, 100.17 ,E
FRA,TERMTRADE,TOT,RT,A,2022, 97.04 ,E
GBR,TERMTRADE,TOT,RT,A,2000, 88.87 ,
GBR,TERMTRADE,TOT,RT,A,2001, 89.93 ,
GBR,TERMTRADE,TOT,RT,A,2002, 90.88 ,
GBR,TERMTRADE,TOT,RT,A,2003, 91.48 ,
GBR,TERMTRADE,TOT,RT,A,2004, 92.30 ,
GBR,TERMTRADE,TOT,RT,A,2005, 92.81 ,
GBR,TERMTRADE,TOT,RT,A,2006, 92.38 ,
GBR,TERMTRADE,TOT,RT,A,2007, 91.93 ,
GBR,TERMTRADE,TOT,RT,A,2008, 89.81 ,
GBR,TERMTRADE,TOT,RT,A,2009, 92.93 ,
GBR,TERMTRADE,TOT,RT,A,2010, 94.33 ,
GBR,TERMTRADE,TOT,RT,A,2011, 93.35 ,
GBR,TERMTRADE,TOT,RT,A,2012, 94.27 ,
GBR,TERMTRADE,TOT,RT,A,2013, 95.70 ,
GBR,TERMTRADE,TOT,RT,A,2014, 97.61 ,
GBR,TERMTRADE,TOT,RT,A,2015, 100.00 ,
GBR,TERMTRADE,TOT,RT,A,2016, 100.10 ,
GBR,TERMTRADE,TOT,RT,A,2017, 98.78 ,
GBR,TERMTRADE,TOT,RT,A,2018, 98.75 ,
GBR,TERMTRADE,TOT,RT,A,2019, 99.42 ,
GBR,TERMTRADE,TOT,RT,A,2020, 100.55 ,
GBR,TERMTRADE,TOT,RT,A,2021, 99.10 ,
GBR,TERMTRADE,TOT,RT,A,2022, 96.85 ,
ITA,TERMTRADE,TOT,RT,A,2000, 100.04 ,
ITA,TERMTRADE,TOT,RT,A,2001, 101.59 ,
ITA,TERMTRADE,TOT,RT,A,2002, 103.13 ,
ITA,TERMTRADE,TOT,RT,A,2003, 104.03 ,
ITA,TERMTRADE,TOT,RT,A,2004, 103.03 ,
ITA,TERMTRADE,TOT,RT,A,2005, 100.32 ,
ITA,TERMTRADE,TOT,RT,A,2006, 97.34 ,
ITA,TERMTRADE,TOT,RT,A,2007, 98.47 ,
ITA,TERMTRADE,TOT,RT,A,2008, 96.07 ,
ITA,TERMTRADE,TOT,RT,A,2009, 101.64 ,
ITA,TERMTRADE,TOT,RT,A,2010, 97.61 ,
ITA,TERMTRADE,TOT,RT,A,2011, 95.05 ,
ITA,TERMTRADE,TOT,RT,A,2012, 93.70 ,
ITA,TERMTRADE,TOT,RT,A,2013, 95.28 ,
ITA,TERMTRADE,TOT,RT,A,2014, 97.73 ,
ITA,TERMTRADE,TOT,RT,A,2015, 100.00 ,
ITA,TERMTRADE,TOT,RT,A,2016, 103.25 ,
ITA,TERMTRADE,TOT,RT,A,2017, 101.72 ,
ITA,TERMTRADE,TOT,RT,A,2018, 101.17 ,
ITA,TERMTRADE,TOT,RT,A,2019, 102.07 ,
ITA,TERMTRADE,TOT,RT,A,2020, 105.71 ,
ITA,TERMTRADE,TOT,RT,A,2021, 100.79 ,
ITA,TERMTRADE,TOT,RT,A,2022, 92.10 ,
JPN,TERMTRADE,TOT,RT,A,2000, 138.73 ,
JPN,TERMTRADE,TOT,RT,A,2001, 138.90 ,
JPN,TERMTRADE,TOT,RT,A,2002, 138.19 ,
JPN,TERMTRADE,TOT,RT,A,2003, 133.91 ,
JPN,TERMTRADE,TOT,RT,A,2004, 128.42 ,
JPN,TERMTRADE,TOT,RT,A,2005, 120.26 ,
JPN,TERMTRADE,TOT,RT,A,2006, 111.84 ,
JPN,TERMTRADE,TOT,RT,A,2007, 107.45 ,
JPN,TERMTRADE,TOT,RT,A,2008, 97.62 ,
JPN,TERMTRADE,TOT,RT,A,2009, 109.41 ,
JPN,TERMTRADE,TOT,RT,A,2010, 103.25 ,
JPN,TERMTRADE,TOT,RT,A,2011, 95.32 ,
JPN,TERMTRADE,TOT,RT,A,2012, 94.06 ,
JPN,TERMTRADE,TOT,RT,A,2013, 93.01 ,
JPN,TERMTRADE,TOT,RT,A,2014, 92.28 ,
JPN,TERMTRADE,TOT,RT,A,2015, 100.00 ,
JPN,TERMTRADE,TOT,RT,A,2016, 105.64 ,
JPN,TERMTRADE,TOT,RT,A,2017, 101.61 ,
JPN,TERMTRADE,TOT,RT,A,2018, 97.38 ,
JPN,TERMTRADE,TOT,RT,A,2019, 98.06 ,
JPN,TERMTRADE,TOT,RT,A,2020, 103.36 ,
JPN,TERMTRADE,TOT,RT,A,2021, 96.07 ,
JPN,TERMTRADE,TOT,RT,A,2022, 86.25 ,E
USA,TERMTRADE,TOT,RT,A,2000, 98.97 ,
USA,TERMTRADE,TOT,RT,A,2001, 100.80 ,
USA,TERMTRADE,TOT,RT,A,2002, 101.13 ,
USA,TERMTRADE,TOT,RT,A,2003, 99.73 ,
USA,TERMTRADE,TOT,RT,A,2004, 98.66 ,
USA,TERMTRADE,TOT,RT,A,2005, 96.41 ,
USA,TERMTRADE,TOT,RT,A,2006, 95.77 ,
USA,TERMTRADE,TOT,RT,A,2007, 96.03 ,
USA,TERMTRADE,TOT,RT,A,2008, 91.36 ,
USA,TERMTRADE,TOT,RT,A,2009, 96.62 ,
USA,TERMTRADE,TOT,RT,A,2010, 95.23 ,
USA,TERMTRADE,TOT,RT,A,2011, 94.06 ,
USA,TERMTRADE,TOT,RT,A,2012, 94.52 ,
USA,TERMTRADE,TOT,RT,A,2013, 95.91 ,
USA,TERMTRADE,TOT,RT,A,2014, 96.69 ,
USA,TERMTRADE,TOT,RT,A,2015, 100.00 ,
USA,TERMTRADE,TOT,RT,A,2016, 101.47 ,
USA,TERMTRADE,TOT,RT,A,2017, 101.87 ,
USA,TERMTRADE,TOT,RT,A,2018, 102.51 ,
USA,TERMTRADE,TOT,RT,A,2019, 103.68 ,
USA,TERMTRADE,TOT,RT,A,2020, 103.40 ,
USA,TERMTRADE,TOT,RT,A,2021, 107.35 ,
